Pour quoi Hercule est-il célèbre ?;Qui est l'équivalent romain de Hera ?;Qui est l'équivalent grec de Mars ?;
1;0;1;
1;0;0;
1;1;1;
1;1;1;
1;1;1;
1;1;1;
1;1;1;
1;1;1;
1;1;1;
1;0;1;
1;0;1;
1;1;1;
1;0;0;
1;1;1;
1;1;1;
1;0;1;
1;0;1;
1;0;1;
1;0;1;
1;1;1;
1;1;1;
1;0;1;
1;1;1;
1;0;1;
1;0;1;
1;0;1;
1;1;1;
1;0;1;
1;0;1;
1;1;1;
1;1;1;
1;0;1;
1;1;1;
1;0;1;
1;0;1;
1;0;1;
1;0;1;
1;0;1;
1;1;1;
1;1;1;
1;0;1;
1;1;1;
1;0;1;
1;1;1;
1;1;1;
1;1;1;
1;1;1;
1;1;1;
1;1;1;
1;0;0;
1;0;1;
1;1;1;
1;0;1;
1;1;1;
1;1;1;
1;1;1;
1;0;1;
1;1;1;
1;1;1;
1;0;1;
1;1;1;
1;0;1;
1;1;1;
1;0;1;
1;0;1;
1;1;1;
1;1;1;
1;0;1;
1;1;1;
1;0;1;
1;1;1;
1;1;1;
1;0;1;
1;0;1;
1;1;1;
1;1;1;
1;1;1;
1;0;1;
1;1;1;
1;0;1;
1;1;1;
1;0;1;
1;0;1;
1;1;1;
1;1;1;
1;1;1;
1;0;1;
1;1;1;
1;1;1;
1;0;1;
1;0;1;
1;1;1;
1;0;1;
1;0;1;
1;1;1;
1;1;1;
1;1;1;
1;0;1;
1;1;1;
1;0;1;
1;1;1;
1;0;1;
1;0;0;
1;0;1;
1;1;1;
1;0;1;
1;1;1;
1;1;1;
1;1;1;
1;0;0;
1;1;1;
1;1;1;
1;0;1;
1;1;1;
1;1;1;
1;1;1;
1;1;1;
1;1;1;
1;0;1;
1;0;0;
1;0;1;
1;1;1;
1;0;1;
1;1;1;
1;0;0;
1;1;1;
