Qui est l'équivalent romain de Hera ?;Qui est l'équivalent grec de Mars ?;Où étaient faits prisonniers les Titans ?;Qui est Zeus ?;Quel est le point commun entre Diogène et les Danaïdes ?;Qui sont les Naïades ?;Qui est Mars ?;Qui sont les Parques ?;Qui sont les Titans ?;Qui est Apollon ?;Que sont Charybde et Sylla ?;Qui est la femme d'Ulysse ?;Qui sont les Sylphides ?
0;1;1;0;0;1;0;0;0;0;0;1;0
0;0;0;0;1;0;0;1;0;0;0;0;0
1;1;0;1;1;0;0;1;0;1;1;0;0
1;1;1;1;1;1;0;0;1;1;0;1;0
1;1;1;1;1;0;1;1;0;1;0;1;1
1;1;1;1;0;1;1;1;1;1;0;0;1
1;1;0;0;0;0;0;0;1;0;1;0;0
1;1;1;1;0;0;0;1;1;1;0;1;0
1;1;1;1;1;0;0;0;0;1;0;1;1
0;1;1;0;1;0;0;0;1;1;0;1;1
0;1;0;1;1;1;1;0;1;1;0;1;1
1;1;1;1;1;1;1;1;1;0;1;1;0
0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;0;1;1;1;1;1;0;1;1
1;1;0;1;1;1;0;1;0;1;0;1;1
0;1;0;1;0;0;0;0;1;0;1;1;0
0;1;0;1;0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1;0;0;0;0
0;1;1;0;0;1;0;0;0;0;0;1;0
1;1;1;1;1;0;1;1;1;1;0;1;1
1;1;0;1;1;1;0;0;1;1;0;1;1
0;1;1;1;1;1;0;1;1;1;0;1;0
1;1;0;1;1;1;0;1;0;0;0;1;1
0;1;1;1;1;1;0;0;0;0;0;1;0
0;1;1;1;0;1;1;1;1;0;1;1;1
0;1;0;0;0;1;0;1;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;0;1;1
0;1;0;0;1;0;0;1;0;0;1;1;0
0;1;0;0;1;1;0;0;0;0;0;1;1
1;1;1;1;1;0;0;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;0;1;1
0;1;1;0;0;0;0;0;0;0;1;0;0
1;1;0;0;1;1;1;1;1;1;0;1;1
0;1;0;1;0;0;1;0;0;0;1;0;1
0;1;1;0;1;0;0;0;0;0;0;0;0
0;1;0;1;0;1;0;1;0;0;1;0;1
0;1;0;0;0;0;0;0;1;1;1;0;0
0;1;0;1;0;1;0;1;0;0;1;0;1
1;1;1;1;0;1;0;1;1;1;1;1;1
1;1;1;1;1;1;0;1;1;0;0;1;1
0;1;0;1;0;0;0;1;0;0;0;0;1
1;1;1;1;1;0;1;1;1;1;0;1;0
0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;0
1;1;1;1;1;0;1;1;0;0;0;1;1
1;1;1;1;1;0;0;1;1;1;0;1;1
1;1;0;1;1;1;0;0;0;0;0;1;1
1;1;1;1;0;1;0;0;0;0;0;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
0;0;0;1;0;1;1;0;1;0;0;1;0
0;1;0;1;1;0;1;0;0;0;0;0;1
1;1;1;1;0;1;1;1;1;1;1;1;1
0;1;0;1;1;0;0;0;0;0;1;1;1
1;1;0;0;0;1;0;0;1;0;1;0;0
1;1;1;0;1;1;0;1;0;1;1;1;0
1;1;1;1;1;0;0;1;1;0;1;1;1
0;1;0;1;0;1;1;0;0;0;1;0;1
1;1;0;1;1;0;0;1;0;1;0;0;0
1;1;0;1;1;0;0;1;0;0;0;1;0
0;1;0;1;0;0;0;0;0;0;1;0;1
1;1;1;1;1;1;1;1;1;1;1;1;1
0;1;1;1;0;0;0;1;1;0;1;1;1
1;1;1;1;0;1;0;1;1;1;1;1;1
0;1;0;1;0;1;0;0;0;0;1;1;1
0;1;0;1;0;0;0;0;1;0;1;1;0
1;1;0;1;0;0;0;0;1;0;1;1;0
1;1;0;0;0;0;0;1;1;0;1;0;1
0;1;1;1;0;0;0;1;1;0;1;1;0
1;1;1;1;1;1;0;1;1;0;1;1;0
0;1;1;1;0;0;1;1;0;0;1;0;0
1;1;1;1;0;1;1;1;1;0;1;1;1
1;1;1;1;1;0;1;1;1;1;1;1;1
0;1;1;1;1;0;1;1;1;0;1;1;0
0;1;1;1;0;0;1;1;0;1;0;1;0
1;1;1;1;1;0;0;1;0;0;1;0;1
1;1;0;1;0;0;1;0;1;1;0;0;0
1;1;1;1;0;0;1;1;1;1;1;0;0
0;1;0;0;0;0;0;0;0;1;1;1;1
1;1;1;1;1;1;0;1;1;1;1;1;1
0;1;1;1;1;0;0;0;0;1;1;0;0
1;1;0;1;0;0;0;0;0;1;1;1;0
0;1;1;1;1;1;0;0;0;0;1;1;1
0;1;1;1;0;0;1;1;1;1;1;1;1
1;1;1;1;1;0;1;1;1;0;0;1;0
1;1;1;1;0;0;1;1;1;1;1;1;1
1;1;1;1;1;0;0;1;1;0;1;1;1
0;1;1;0;0;0;0;1;1;0;0;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;0;1;1;1;0;1;1;1;1
0;1;1;1;1;1;1;1;1;1;1;0;1
0;1;0;1;0;1;0;0;0;0;1;0;1
1;1;0;0;1;0;0;1;0;0;0;1;0
0;1;0;1;0;0;1;1;1;1;1;0;1
0;1;0;0;0;0;0;1;0;0;0;1;1
1;1;1;1;1;0;0;0;0;0;1;0;1
1;1;0;1;0;1;1;0;0;0;1;0;0
1;1;1;0;0;0;1;1;0;0;1;1;1
0;1;0;1;1;0;1;0;0;0;0;1;1
1;1;0;0;0;0;0;0;0;0;1;0;1
0;1;0;1;0;0;1;1;0;0;0;1;0
1;1;1;1;0;0;0;1;1;1;1;1;1
0;1;0;1;1;1;1;0;0;1;1;1;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;1;1;0;1;0;0;0;0;0
1;1;0;1;0;1;0;1;0;1;0;1;1
0;1;0;0;0;0;0;1;0;0;1;0;1
1;1;0;0;0;0;0;1;1;0;0;1;1
1;1;0;1;0;0;0;0;0;0;0;1;0
1;1;1;1;1;1;0;1;1;0;0;1;0
0;0;0;0;0;0;0;1;0;0;0;1;0
1;1;1;1;0;1;1;0;1;1;1;0;1
1;1;1;1;1;0;0;1;1;1;1;1;0
0;1;1;1;0;0;0;0;0;1;1;1;0
1;1;1;1;1;1;0;1;1;1;1;1;1
1;1;1;1;1;0;0;0;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;0;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;1;0;1;0;1;0;0;1
0;1;1;1;0;1;1;0;0;1;1;1;0
0;0;0;1;1;1;0;0;0;0;1;1;1
0;1;0;1;1;0;1;1;0;1;0;1;0
1;1;0;1;1;1;0;1;1;0;1;1;1
0;1;0;1;1;1;0;0;0;0;1;0;0
1;1;1;1;1;0;0;0;1;1;1;0;1
0;0;1;0;1;0;0;1;0;0;0;1;1
1;1;0;1;1;1;0;0;0;0;1;1;1
