Qui est l'équivalent romain de Hera ?;Où étaient faits prisonniers les Titans ?;Qui est Zeus ?;Qui sont les Néréides ?;De qui Oedipe est-il le fils ?;Quel est le point commun entre Diogène et les Danaïdes ?;Qui sont les Naïades ?;Qui est Mars ?;Qui sont les Parques ?;Qui sont les Titans ?;Qui sont les Néphélées ?;Qui est Apollon ?;Que sont Charybde et Sylla ?;Qui est la femme d'Ulysse ?;Qui sont les Sylphides ?
0;1;0;1;0;0;1;0;0;0;0;0;0;1;0
0;0;0;1;1;1;0;0;1;0;1;0;0;0;0
1;0;1;1;0;1;0;0;1;0;0;1;1;0;0
1;1;1;1;0;1;1;0;0;1;0;1;0;1;0
1;1;1;0;1;1;0;1;1;0;1;1;0;1;1
1;1;1;1;0;0;1;1;1;1;1;1;0;0;1
1;0;0;1;0;0;0;0;0;1;1;0;1;0;0
1;1;1;0;1;0;0;0;1;1;0;1;0;1;0
1;1;1;0;1;1;0;0;0;0;1;1;0;1;1
0;1;0;0;1;1;0;0;0;1;0;1;0;1;1
0;0;1;0;0;1;1;1;0;1;0;1;0;1;1
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;0;0;1;1;1;1;1;1;0;1;1
1;0;1;1;1;1;1;0;1;0;1;1;0;1;1
0;0;1;0;0;0;0;0;0;1;0;0;1;1;0
0;0;1;1;1;0;1;0;0;0;1;0;0;0;1
0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
1;1;1;0;1;1;0;1;1;1;1;1;0;1;1
1;0;1;1;0;1;1;0;0;1;1;1;0;1;1
0;1;1;1;0;1;1;0;1;1;0;1;0;1;0
1;0;1;1;0;1;1;0;1;0;1;0;0;1;1
0;1;1;0;0;1;1;0;0;0;0;0;0;1;0
0;1;1;0;1;0;1;1;1;1;0;0;1;1;1
0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
0;0;0;0;0;1;0;0;1;0;0;0;1;1;0
0;0;0;0;0;1;1;0;0;0;1;0;0;1;1
1;1;1;0;1;1;0;0;1;1;1;1;1;1;1
1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
0;1;0;1;0;0;0;0;0;0;1;0;1;0;0
1;0;0;0;0;1;1;1;1;1;1;1;0;1;1
0;0;1;1;1;0;0;1;0;0;0;0;1;0;1
0;1;0;1;1;1;0;0;0;0;0;0;0;0;0
0;0;1;1;0;0;1;0;1;0;1;0;1;0;1
0;0;0;1;0;0;0;0;0;1;0;1;1;0;0
0;0;1;1;0;0;1;0;1;0;1;0;1;0;1
1;1;1;0;1;0;1;0;1;1;1;1;1;1;1
1;1;1;0;0;1;1;0;1;1;0;0;0;1;1
0;0;1;0;0;0;0;0;1;0;1;0;0;0;1
1;1;1;0;1;1;0;1;1;1;0;1;0;1;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;0;1;1;1;1;1;1;0;1;1;1;0
1;1;1;0;1;1;0;1;1;0;0;0;0;1;1
1;1;1;0;0;1;0;0;1;1;1;1;0;1;1
1;0;1;1;1;1;1;0;0;0;1;0;0;1;1
1;1;1;0;0;0;1;0;0;0;1;0;0;1;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0;0;1;1;1;0;1;1;0;1;1;0;0;1;0
0;0;1;0;0;1;0;1;0;0;1;0;0;0;1
1;1;1;1;1;0;1;1;1;1;0;1;1;1;1
0;0;1;0;0;1;0;0;0;0;0;0;1;1;1
1;0;0;0;0;0;1;0;0;1;0;0;1;0;0
1;1;0;1;0;1;1;0;1;0;0;1;1;1;0
1;1;1;0;1;1;0;0;1;1;1;0;1;1;1
0;0;1;0;0;0;1;1;0;0;1;0;1;0;1
1;0;1;0;0;1;0;0;1;0;0;1;0;0;0
1;0;1;0;1;1;0;0;1;0;1;0;0;1;0
0;0;1;1;0;0;0;0;0;0;0;0;1;0;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0;1;1;0;1;0;0;0;1;1;1;0;1;1;1
1;1;1;1;1;0;1;0;1;1;1;1;1;1;1
0;0;1;1;0;0;1;0;0;0;0;0;1;1;1
0;0;1;1;1;0;0;0;0;1;1;0;1;1;0
1;0;1;0;1;0;0;0;0;1;0;0;1;1;0
1;0;0;1;1;0;0;0;1;1;1;0;1;0;1
0;1;1;1;0;0;0;0;1;1;0;0;1;1;0
1;1;1;1;0;1;1;0;1;1;0;0;1;1;0
0;1;1;0;0;0;0;1;1;0;0;0;1;0;0
1;1;1;1;1;0;1;1;1;1;1;0;1;1;1
1;1;1;1;1;1;0;1;1;1;0;1;1;1;1
0;1;1;0;0;1;0;1;1;1;0;0;1;1;0
0;1;1;1;0;0;0;1;1;0;0;1;0;1;0
1;1;1;0;0;1;0;0;1;0;1;0;1;0;1
1;0;1;0;0;0;0;1;0;1;0;1;0;0;0
1;1;1;1;1;0;0;1;1;1;1;1;1;0;0
0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;1;1;1;1;1;1;0;1;1;1;1;1;1;1
0;1;1;0;1;1;0;0;0;0;0;1;1;0;0
1;0;1;1;1;0;0;0;0;0;1;1;1;1;0
0;1;1;1;0;1;1;0;0;0;1;0;1;1;1
0;1;1;0;1;0;0;1;1;1;1;1;1;1;1
1;1;1;1;0;1;0;1;1;1;1;0;0;1;0
1;1;1;0;1;0;0;1;1;1;0;1;1;1;1
1;1;1;0;1;1;0;0;1;1;1;0;1;1;1
0;1;0;0;0;0;0;0;1;1;1;0;0;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1;1;1;1;0;0;1;1;1;0;1;1;1;1;1
0;1;1;0;0;1;1;1;1;1;1;1;1;0;1
0;0;1;0;0;0;1;0;0;0;0;0;1;0;1
1;0;0;0;1;1;0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1;1;1;0;1;1;0;1
0;0;0;1;0;0;0;0;1;0;0;0;0;1;1
1;1;1;0;1;1;0;0;0;0;1;0;1;0;1
1;0;1;0;1;0;1;1;0;0;0;0;1;0;0
1;1;0;0;0;0;0;1;1;0;1;0;1;1;1
0;0;1;1;0;1;0;1;0;0;0;0;0;1;1
