Qui sont les Néréides ?;Qui sont les Naïades ?;Qui sont les Néphélées ?
1;1;0
1;0;1
1;0;0
1;1;0
0;0;1
1;1;1
1;0;1
0;0;0
0;0;1
0;0;0
0;1;0
1;1;0
1;0;0
1;1;1
1;1;1
0;0;0
1;1;1
0;0;0
0;1;0
0;0;1
1;1;1
1;1;0
1;1;1
0;1;0
0;1;0
0;1;0
1;1;1
0;0;0
0;1;1
0;0;1
1;1;1
1;0;1
0;1;1
1;0;0
1;0;0
1;1;1
1;0;0
1;1;1
0;1;1
0;1;0
0;0;1
0;0;0
0;0;0
0;1;0
0;0;0
0;0;1
1;1;1
0;1;1
1;1;1
1;1;1
0;0;1
1;1;0
0;0;0
0;1;0
1;1;0
0;0;1
0;1;1
0;0;0
0;0;1
1;0;0
1;1;1
0;0;1
1;1;1
1;1;0
1;0;1
0;0;0
1;0;1
1;0;0
1;1;0
0;0;0
1;1;1
1;0;0
0;0;0
1;0;0
0;0;1
0;0;0
1;0;1
0;0;0
1;1;1
0;0;0
1;0;1
1;1;1
0;0;1
1;0;1
0;0;0
0;0;1
0;0;1
1;1;1
1;1;1
0;1;1
0;1;0
0;0;0
0;0;0
1;0;0
0;0;1
0;1;0
0;0;1
1;0;0
0;0;0
0;0;1
1;0;0
0;1;0
1;0;0
1;1;1
1;1;1
1;0;1
0;0;1
0;0;0
0;1;0
0;0;0
1;1;1
0;0;0
1;0;1
1;1;1
1;0;1
1;1;1
1;1;1
1;1;1
0;1;0
0;1;0
1;0;1
1;1;1
1;1;0
0;0;1
0;0;1
1;1;1
